CPV_Categoria;Descripcion_Categoria;Tipo_de_contrato
15511400-7;Leche semidescremada;Suministros
15511500-8;Leche entera;Suministros
15511600-9;Leche condensada;Suministros
15511700-0;Leche en polvo;Suministros
15512000-0;Nata (crema);Suministros
15512100-1;Crema de leche, con un contenido de materias grasas, en peso, superior al 18 %;Suministros
15512200-2;Crema de leche espesa, con un contenido de materias grasas, en peso, del 48 %;Suministros
15512300-3;Nata en grumos (<clotted cream>), con un contenido de materias grasas, en peso, igual o superior al 48%;Suministros
15512900-9;Nata montada;Suministros
15541000-2;Queso de mesa;Suministros
15542000-9;Queso fresco;Suministros
15542100-0;Requeson;Suministros
15542200-1;Quesos de pasta blanda;Suministros
15542300-2;Queso feta;Suministros
15543000-6;Queso rallado, en polvo, de pasta azul y otros quesos;Suministros
15543100-7;Queso de pasta azul;Suministros
15543200-8;Queso cheddar;Suministros
15543300-9;Queso rallado;Suministros
15543400-0;Queso parmesano;Suministros
15544000-3;Queso de pasta dura;Suministros
15545000-0;Quesos para untar;Suministros
15551000-5;Yogur y otros productos lacteos fermentados;Suministros
15551300-8;Yogur;Suministros
15551310-1;Yogur natural;Suministros
15551320-4;Yogur aromatizado;Suministros
15551500-0;Suero de mantequilla;Suministros
15552000-2;Caseina;Suministros
15553000-9;Lactosa o jarabe de lactosa;Suministros
15554000-6;Suero de leche;Suministros
15555000-3;Helados y productos similares;Suministros
15555100-4;Helados;Suministros
15555200-5;Sorbetes;Suministros
15611000-4;Arroz descascarillado;Suministros
15612000-1;Harina de cereales o legumbres y productos conexos;Suministros
15612100-2;Harina de trigo;Suministros
15612110-5;Harina integral;Suministros
15612120-8;Harina de panificacion;Suministros
15612130-1;Harina corriente;Suministros
15612150-7;Harina para pasteleria;Suministros
15612190-9;Harina fermentante;Suministros
15612200-3;Harina de cereales;Suministros
15612210-6;Harina de maiz;Suministros
15612220-9;Harina de arroz;Suministros
15612300-4;Harinas y semolas vegetales;Suministros
15612400-5;Mezclas para la preparacion de productos de panaderia;Suministros
15612410-8;Mezclas de pasteleria;Suministros
15612420-1;Mezclas para hornear;Suministros
15612500-6;Productos de panaderia;Suministros
15613000-8;Productos a base de granos de cereales;Suministros
15613100-9;Avena molida;Suministros
15613300-1;Productos a base de cereales;Suministros
15613310-4;Cereales preparados para desayuno;Suministros
15613311-1;Copos de maiz;Suministros
15613313-5;Muesli o equivalente;Suministros
15613319-7;Trigo hinchado;Suministros
15613380-5;Granos aplastados de avena;Suministros
15614000-5;Arroz elaborado;Suministros
15614100-6;Arroz de grano largo;Suministros
15614200-7;Arroz molido;Suministros
15614300-8;Arroz partido;Suministros
15615000-2;Salvado;Suministros
15621000-7;Aceite de maiz;Suministros
15622000-4;"""Glucosa y productos a base de glucosa; fructosa y productos a base de fructosa""";Suministros
15622100-5;Glucosa y productos a base de glucosa;Suministros
15622110-8;Glucosa;Suministros
15622120-1;Jarabe de glucosa;Suministros
15622300-7;Fructosa y productos a base de fructosa;Suministros
15622310-0;Fructosa;Suministros
15622320-3;Preparaciones a base de fructosa;Suministros
15622321-0;Soluciones de fructosa;Suministros
15622322-7;Jarabe de fructosa;Suministros
15623000-1;Almidones y feculas;Suministros
15624000-8;Tapioca;Suministros
15625000-5;Semola;Suministros
15626000-2;Natillas en polvo;Suministros
15711000-5;Alimentos para peces;Suministros
